Soundfile,CorrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruc.started,Instruc.stopped,Trigger.keys,Trigger.corr,Trigger.rt,Trigger.started,Trigger.stopped,Tone.started,Tone.stopped,Response.keys,Response.corr,Response.started,Response.stopped,Response_screen.started,Response_screen.stopped,jitter_pre_fb,jitter_post_fb,jitter_cross_pre_fb.started,jitter_cross_pre_fb.stopped,FB_text.started,FB_text.stopped,jitter_cross_post_fb.started,jitter_cross_post_fb.stopped,Response.rt,participant,session,date,expName,psychopyVersion,frameRate
,,,,,,13.34661127,None,5,1,21.12393512,13.34661127,None,,,,,,,,,,,,,,,,,,Subj_010,Run2,2021_Oct_15_1010,Tone_Learning,2021.1.4,60.00114666
stimuli/null.wav,0,0,0,0,40,,,,,,,,34.54635031,34.84632922,None,0,34.54639547,None,34.54639547,None,2.6,3,36.51228384,None,39.11309519,None,39.8626744,None,,Subj_010,Run2,2021_Oct_15_1010,Tone_Learning,2021.1.4,60.00114666
stimuli/null.wav,0,0,1,1,41,,,,,,,,42.46316834,42.76341879,None,0,42.46327907,None,42.46327907,None,3.9,1.7,44.46345532,None,48.36402063,None,49.11393747,None,,Subj_010,Run2,2021_Oct_15_1010,Tone_Learning,2021.1.4,60.00114666
stimuli/di4-iN.wav,4,0,2,2,27,,,,,,,,53.01416343,53.31418067,3,0,53.01502125,None,53.01502125,None,3.2,2.4,55.01419065,None,58.23116301,None,58.98066932,None,1.736667205,Subj_010,Run2,2021_Oct_15_1010,Tone_Learning,2021.1.4,60.00114666
stimuli/di2-aN.wav,2,0,3,3,5,,,,,,,,62.18093096,62.48134385,1,0,62.18113406,None,62.18113406,None,3.8,2.3,64.18134923,None,67.98162237,None,68.73138101,None,1.418861549,Subj_010,Run2,2021_Oct_15_1010,Tone_Learning,2021.1.4,60.00114666
stimuli/null.wav,0,0,4,4,44,,,,,,,,72.53156005,72.8315741,None,0,72.5317306,None,72.5317306,None,3.5,2,74.53164035,None,78.03173413,None,78.78172564,None,,Subj_010,Run2,2021_Oct_15_1010,Tone_Learning,2021.1.4,60.00114666
stimuli/di1-aN.wav,1,0,5,5,4,,,,,,,,82.28181981,82.58176768,2,0,82.28191852,None,82.28191852,None,3.8,2.3,84.28182792,None,88.08377783,None,88.84875696,None,1.436007254,Subj_010,Run2,2021_Oct_15_1010,Tone_Learning,2021.1.4,60.00114666
stimuli/ma2-iN.wav,2,0,6,6,33,,,,,,,,92.64908889,None,1,0,92.64885634,None,92.64885634,None,2.6,2.9,94.64885811,None,97.24889088,None,97.99890681,None,1.635835329,Subj_010,Run2,2021_Oct_15_1010,Tone_Learning,2021.1.4,60.00114666
stimuli/di3-aN.wav,3,0,7,7,6,,,,,,,,100.5987528,None,3,1,100.5988773,None,100.5988773,None,3.1,2.4,102.5994665,None,105.7161138,None,106.4662076,None,1.140802303,Subj_010,Run2,2021_Oct_15_1010,Tone_Learning,2021.1.4,60.00114666
stimuli/bu2-iN.wav,2,0,8,8,21,,,,,,,,109.5663091,109.8660895,3,0,109.5654512,None,109.5654512,None,3.6,2,111.5663508,None,115.169098,None,115.9339953,None,1.822826422,Subj_010,Run2,2021_Oct_15_1010,Tone_Learning,2021.1.4,60.00114666
stimuli/mi4-iN.wav,4,0,9,9,39,,,,,,,,119.5339662,119.8340231,2,0,119.5340359,None,119.5340359,None,3.6,2,121.534032,None,125.1341242,None,125.8841433,None,1.766354386,Subj_010,Run2,2021_Oct_15_1010,Tone_Learning,2021.1.4,60.00114666
stimuli/lu2-iN.wav,2,0,10,10,29,,,,,,,,129.4840898,129.7841396,1,0,129.4841662,None,129.4841662,None,3.4,2.7,131.4840232,None,134.884253,None,135.6352723,None,1.13660329,Subj_010,Run2,2021_Oct_15_1010,Tone_Learning,2021.1.4,60.00114666
