Soundfile,CorrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruc.started,Instruc.stopped,Trigger.keys,Trigger.corr,Trigger.rt,Trigger.started,Trigger.stopped,Tone.started,Tone.stopped,Response.keys,Response.corr,Response.started,Response.stopped,Response_screen.started,Response_screen.stopped,jitter_pre_fb,jitter_post_fb,jitter_cross_pre_fb.started,jitter_cross_pre_fb.stopped,FB_text.started,FB_text.stopped,jitter_cross_post_fb.started,jitter_cross_post_fb.stopped,Response.rt,participant,session,Group_ID,date,expName,psychopyVersion,frameRate,
stimuli/lu3-aN.wav,3,0,9,9,10,,,,,,,,134.61396920308894,134.91410187944575,None,0,134.61488785149595,None,134.61488785149595,None,3.4,1.9,136.6140505288472,None,140.0306068678151,None,140.78076833377372,None,,Subj_040,Run1,group_mand,2022_Mar_11_1541,Tone_Learning,2021.1.4,60.00146517351673,
stimuli/ma3-aN.wav,3,0,10,10,14,,,,,,,,144.18063066745495,None,1,0,144.1807548148704,None,144.1807548148704,None,3.0,2.4,146.1805654794448,None,149.18252713601305,None,149.94746490482066,None,1.0391503192336131,Subj_040,Run1,group_mand,2022_Mar_11_1541,Tone_Learning,2021.1.4,60.00146517351673,
stimuli/ma2-iN.wav,2,0,11,11,33,,,,,,,,152.9474993037053,153.2475456289526,2,1,152.94754913254292,None,152.94754913254292,None,3.4,2.2,154.94755267152277,None,158.36433904418482,None,159.11431152861633,None,1.5340210986905731,Subj_040,Run1,group_mand,2022_Mar_11_1541,Tone_Learning,2021.1.4,60.00146517351673,
stimuli/null.wav,0,0,12,12,44,,,,,,,,162.51427507712302,162.814369178599,None,0,162.5143358767982,None,162.5143358767982,None,2.0,2.7,164.51514134862737,None,166.51504261108767,None,167.26538279553188,None,,Subj_040,Run1,group_mand,2022_Mar_11_1541,Tone_Learning,2021.1.4,60.00146517351673,
stimuli/ma3-iN.wav,3,0,13,13,34,,,,,,,,169.26507178997704,None,2,0,169.2652490220912,None,169.2652490220912,None,2.1,2.1,171.26513754422376,None,173.3821164020037,None,174.13208393186324,None,1.5000323816661876,Subj_040,Run1,group_mand,2022_Mar_11_1541,Tone_Learning,2021.1.4,60.00146517351673,
stimuli/di4-aN.wav,4,0,14,14,7,,,,,,,,176.2320764646153,176.53211712749453,1,0,176.23214717343444,None,176.23214717343444,None,2.8,1.7,178.23213655649442,None,181.03221568808567,None,181.78220374402827,None,1.3837390242961192,Subj_040,Run1,group_mand,2022_Mar_11_1541,Tone_Learning,2021.1.4,60.00146517351673,
stimuli/ma1-aN.wav,1,0,15,15,12,,,,,,,,184.58227126776515,None,1,1,184.58240107754864,None,184.58240107754864,None,3.9,3.0,186.58254122115295,None,190.49906517845466,None,191.24903483170192,None,1.2496467213295546,Subj_040,Run1,group_mand,2022_Mar_11_1541,Tone_Learning,2021.1.4,60.00146517351673,
stimuli/ma1-iN.wav,1,0,16,16,32,,,,,,,,195.1487869261588,None,2,0,195.14880101129893,None,195.14880101129893,None,2.4,1.8,197.14909191544803,None,199.55092928304157,None,200.3158051197006,None,1.9237314438014437,Subj_040,Run1,group_mand,2022_Mar_11_1541,Tone_Learning,2021.1.4,60.00146517351673,
stimuli/bu4-aN.wav,4,0,17,17,3,,,,,,,,202.71580618139447,203.0158408280081,4,1,202.71585601023162,None,202.71585601023162,None,3.1,2.6,204.71603437481963,None,207.83283628360368,None,208.58289688863488,None,1.4123212417002833,Subj_040,Run1,group_mand,2022_Mar_11_1541,Tone_Learning,2021.1.4,60.00146517351673,
stimuli/null.wav,0,0,18,18,42,,,,,,,,211.68263355313925,211.9829314998583,None,0,211.6830567443576,None,211.6830567443576,None,2.7,1.3,213.68308080942097,None,216.3830262737406,None,217.13304193372687,None,,Subj_040,Run1,group_mand,2022_Mar_11_1541,Tone_Learning,2021.1.4,60.00146517351673,
stimuli/di2-iN.wav,2,0,19,19,25,,,,,,,,219.83407499735463,220.13388173366093,3,0,219.83416623225685,None,219.83416623225685,None,2.9,2.1,221.83415773870502,None,224.75091774596694,None,225.50111460172457,None,1.6174925407149203,Subj_040,Run1,group_mand,2022_Mar_11_1541,Tone_Learning,2021.1.4,60.00146517351673,
stimuli/lu1-iN.wav,1,0,20,20,28,,,,,,,,228.40092898222807,None,3,0,228.40193999801113,None,228.40193999801113,None,2.3,1.3,230.41757910416345,None,232.71785517998705,None,233.46761249443898,None,1.3134010906428557,Subj_040,Run1,group_mand,2022_Mar_11_1541,Tone_Learning,2021.1.4,60.00146517351673,
